EmployeeID,FirstName,LastName,BirthDate,HireDate,Department,JobTitle,Salary,FullTime
1,John,Smith,1960-01-01,2000-01-01,HR,Manager,80000,True
2,Jane,Johnson,1961-01-01,2001-01-01,Sales,Analyst,85000,True
3,Sam,Williams,1962-01-01,2002-01-01,IT,Director,90000,False
4,Sara,Jones,1963-01-01,2003-01-01,Marketing,Associate,95000,True
5,Mike,Brown,1964-01-01,2004-01-01,Finance,Vice President,100000,False
6,Michelle,Davis,1965-01-01,2005-01-01,HR,Manager,105000,True
7,Nick,Miller,1966-01-01,2006-01-01,Sales,Analyst,110000,False
8,Nicole,Wilson,1967-01-01,2007-01-01,IT,Director,115000,True
9,Chris,Moore,1968-01-01,2008-01-01,Marketing,Associate,120000,False
10,Christine,Taylor,1969-01-01,2009-01-01,Finance,Vice President,125000,True
